point50705 ( 41551 , 166649 ) 
point48029 ( 694626 , 766065 ) 
point30285 ( 169512 , 400661 ) 
point90401 ( 754056 , 264906 ) 
point11762 ( 908053 , 494114 ) 
point83253 ( 792485 , 251877 ) 
point90194 ( 758125 , 261049 ) 
point65681 ( 757682 , 258375 ) 
point18932 ( 90300 , 37122 ) 
point61319 ( 752806 , 259603 ) 
point52086 ( 601429 , 905799 ) 
point8265 ( 754636 , 836273 ) 
point64547 ( 770266 , 252476 ) 
point4422 ( 770884 , 138397 ) 
point12883 ( 558573 , 725461 ) 
point26812 ( 565204 , 669829 ) 
point28977 ( 522844 , 835672 ) 
point69658 ( 799871 , 265657 ) 
point80261 ( 791347 , 258383 ) 
point14411 ( 342397 , 249985 ) 
point22601 ( 639662 , 205202 ) 
point85465 ( 779116 , 250128 ) 
point98076 ( 754934 , 269647 ) 
point10551 ( 868764 , 212789 ) 
point66592 ( 773744 , 255222 ) 
point6134 ( 364063 , 971153 ) 
point47274 ( 242591 , 243966 ) 
point6103 ( 755815 , 488027 ) 
point30886 ( 619433 , 442896 ) 
point57767 ( 855488 , 276177 ) 
point29125 ( 899796 , 641830 ) 
point32839 ( 887824 , 598003 ) 
point25027 ( 504325 , 569767 ) 
point72068 ( 765544 , 298272 ) 
point49640 ( 365475 , 121653 ) 
point36020 ( 569509 , 448564 ) 
point24529 ( 900720 , 219391 ) 
point83530 ( 770549 , 276677 ) 
point91556 ( 772740 , 298272 ) 
point91011 ( 786037 , 290028 ) 
point9725 ( 946113 , 138328 ) 
point99868 ( 788335 , 280479 ) 
point37216 ( 810910 , 46945 ) 
point91235 ( 758015 , 286685 ) 
point56022 ( 717458 , 20145 ) 
point88140 ( 752759 , 290337 ) 
point87582 ( 791921 , 283890 ) 
point18334 ( 116462 , 881790 ) 
point12397 ( 299984 , 927728 ) 
point57233 ( 242454 , 419345 ) 
point21148 ( 251501 , 92560 ) 
point23361 ( 911622 , 890518 ) 
point72482 ( 794072 , 254973 ) 
point72184 ( 797600 , 261930 ) 
point91196 ( 787132 , 283832 ) 
point55138 ( 157594 , 841376 ) 
point84258 ( 755700 , 290775 ) 
point92056 ( 773043 , 282678 ) 
point52697 ( 551468 , 498361 ) 
point32256 ( 307628 , 479010 ) 
point53547 ( 610880 , 613500 ) 
point87653 ( 785721 , 250936 ) 
point65451 ( 793815 , 275338 ) 
point69170 ( 788546 , 279453 ) 
point39131 ( 834885 , 617008 ) 
point15009 ( 515807 , 836250 ) 
point7208 ( 818724 , 394405 ) 
point39490 ( 800216 , 75138 ) 
point49596 ( 697043 , 790237 ) 
point95146 ( 797311 , 264166 ) 
point19825 ( 271281 , 178301 ) 
point74410 ( 772505 , 258107 ) 
point26619 ( 95316 , 111194 ) 
point27266 ( 518635 , 919128 ) 
point99913 ( 798414 , 259076 ) 
point18879 ( 198273 , 928563 ) 
point23785 ( 326841 , 527065 ) 
point9862 ( 788533 , 222134 ) 
point2025 ( 312958 , 623527 ) 
point49957 ( 769809 , 124183 ) 
point22231 ( 515699 , 770085 ) 
point75614 ( 759522 , 263639 ) 
point37121 ( 889349 , 826676 ) 
point12309 ( 305271 , 82614 ) 
point95026 ( 781458 , 255001 ) 
point99432 ( 753245 , 270665 ) 
point76240 ( 775390 , 285057 ) 
point28884 ( 588781 , 753130 ) 
point62627 ( 760024 , 287026 ) 
point18846 ( 95524 , 354177 ) 
point94392 ( 788245 , 299290 ) 
point48007 ( 430447 , 634334 ) 
point30163 ( 313149 , 841047 ) 
point69815 ( 769795 , 269869 ) 
point19056 ( 765725 , 440253 ) 
point49171 ( 195205 , 310992 ) 
point86715 ( 768927 , 277050 ) 
point84467 ( 789402 , 264127 ) 
point19042 ( 64428 , 179088 ) 
point4775 ( 141181 , 503793 ) 
point58190 ( 181183 , 112886 ) 
point33152 ( 502065 , 843144 ) 
point39106 ( 765961 , 451608 ) 
point3446 ( 197990 , 351134 ) 
point89692 ( 759280 , 286798 ) 
point14486 ( 224942 , 154288 ) 
point90894 ( 768747 , 254453 ) 
point64299 ( 754257 , 288433 ) 
point71167 ( 759522 , 289480 ) 
point67946 ( 785776 , 298439 ) 
point77201 ( 787628 , 280714 ) 
point34543 ( 311507 , 58297 ) 
point3721 ( 598059 , 497679 ) 
point34974 ( 710907 , 356949 ) 
point143 ( 854868 , 874930 ) 
point63897 ( 754972 , 291665 ) 
point68521 ( 796785 , 291235 ) 
point96614 ( 781364 , 269544 ) 
point80324 ( 782046 , 274331 ) 
point47248 ( 468664 , 34884 ) 
point88250 ( 781477 , 299512 ) 
point84677 ( 769952 , 267864 ) 
point40257 ( 345927 , 456104 ) 
point76572 ( 752627 , 251793 ) 
point62626 ( 759820 , 260792 ) 
point49323 ( 672792 , 574957 ) 
point46934 ( 359021 , 345222 ) 
point64883 ( 777219 , 267990 ) 
point5390 ( 988255 , 473473 ) 
point49095 ( 102880 , 579782 ) 
point54376 ( 871250 , 696139 ) 
point53479 ( 296995 , 970194 ) 
point78680 ( 772181 , 294774 ) 
point31806 ( 748348 , 505686 ) 
point41455 ( 155224 , 631232 ) 
point5439 ( 732392 , 451490 ) 
point18995 ( 984216 , 285528 ) 
point83948 ( 778495 , 261874 ) 
point87250 ( 751271 , 269014 ) 
point69579 ( 750894 , 272804 ) 
point6275 ( 511771 , 228010 ) 
point74533 ( 794064 , 250322 ) 
point55192 ( 200512 , 175940 ) 
point21052 ( 543992 , 828431 ) 
point61038 ( 759564 , 291754 ) 
point4196 ( 698506 , 447742 ) 
point18252 ( 229032 , 489532 ) 
point15756 ( 998794 , 694684 ) 
point28766 ( 119088 , 742331 ) 
point40089 ( 259213 , 268690 ) 
point94774 ( 759505 , 288751 ) 
point66341 ( 794881 , 251385 ) 
point53490 ( 620656 , 38542 ) 
point13864 ( 497581 , 405859 ) 
point89438 ( 785786 , 284705 ) 
point43153 ( 966275 , 209925 ) 
point87494 ( 750354 , 283502 ) 
point1043 ( 641996 , 500235 ) 
point25583 ( 176282 , 239263 ) 
point69903 ( 782050 , 276140 ) 
point95285 ( 763463 , 271548 ) 
point26196 ( 307183 , 731380 ) 
point26296 ( 750356 , 295691 ) 
point44951 ( 204493 , 145585 ) 
point15468 ( 913091 , 832466 ) 
point11257 ( 120171 , 645268 ) 
point40642 ( 790189 , 73537 ) 
point64651 ( 796923 , 278332 ) 
point7204 ( 176871 , 866813 ) 
point85731 ( 785785 , 295818 ) 
point8822 ( 582435 , 104965 ) 
point61839 ( 775755 , 266742 ) 
point12950 ( 65408 , 954594 ) 
point19228 ( 433835 , 607372 ) 
point18308 ( 701306 , 543151 ) 
point77856 ( 770141 , 299085 ) 
point63481 ( 792766 , 254950 ) 
point18367 ( 253083 , 944939 ) 
point3873 ( 338638 , 606460 ) 
point70416 ( 778480 , 284309 ) 
point24482 ( 902958 , 599090 ) 
point72568 ( 753326 , 278223 ) 
point17259 ( 914659 , 509323 ) 
point89244 ( 774437 , 256514 ) 
point74845 ( 798343 , 277308 ) 
point49148 ( 368470 , 586367 ) 
point50305 ( 702469 , 158326 ) 
point80839 ( 784795 , 293820 ) 
point37781 ( 585030 , 901025 ) 
point91423 ( 766843 , 268479 ) 
point21577 ( 339695 , 289267 ) 
point67126 ( 773339 , 261899 ) 
point66456 ( 786626 , 291453 ) 
point11014 ( 57791 , 975281 ) 
point64810 ( 789426 , 285598 ) 
point70675 ( 766107 , 281685 ) 
point65452 ( 797487 , 255300 ) 
point98991 ( 760034 , 271963 ) 
point64655 ( 763150 , 291087 ) 
point25347 ( 840124 , 435399 ) 
point86295 ( 759472 , 288318 ) 
point63510 ( 772662 , 288571 ) 
point50929 ( 698039 , 245638 ) 
point36706 ( 835260 , 601472 ) 
point23833 ( 384107 , 43924 ) 
point85366 ( 754552 , 297854 ) 
point15028 ( 844555 , 766726 ) 
point6645 ( 852083 , 104494 ) 
point23942 ( 465812 , 548464 ) 
point484 ( 913097 , 193242 ) 
point18964 ( 533773 , 289186 ) 
point90921 ( 753771 , 267866 ) 
point67075 ( 759003 , 280807 ) 
point67055 ( 759004 , 270745 ) 
point41697 ( 135767 , 919387 ) 
point14947 ( 979653 , 630240 ) 
point24414 ( 46134 , 743245 ) 
point35990 ( 622308 , 288624 ) 
point21244 ( 606557 , 486604 ) 
point90704 ( 765107 , 272815 ) 
point40037 ( 925533 , 623168 ) 
point11298 ( 359400 , 366510 ) 
point1911 ( 742571 , 82324 ) 
point46837 ( 142855 , 469830 ) 
point71604 ( 775310 , 283875 ) 
point71872 ( 793010 , 250532 ) 
point64743 ( 775097 , 292881 ) 
point42026 ( 773098 , 99624 ) 
point87721 ( 760985 , 284153 ) 
point35478 ( 82759 , 69484 ) 
point67220 ( 781142 , 276940 ) 
point55285 ( 989909 , 591912 ) 
point91399 ( 766894 , 275685 ) 
point33188 ( 100837 , 435597 ) 
point64811 ( 755893 , 273681 ) 
point79266 ( 771256 , 260051 ) 
point13011 ( 171841 , 652463 ) 
point88390 ( 778489 , 250717 ) 
point93766 ( 770383 , 263371 ) 
point13594 ( 246497 , 740921 ) 
point58216 ( 36936 , 526795 ) 
point39269 ( 775400 , 994252 ) 
point31754 ( 967312 , 915571 ) 
point65818 ( 751805 , 296847 ) 
point4939 ( 544454 , 116813 ) 
point85396 ( 768027 , 298726 ) 
point1309 ( 365667 , 832457 ) 
point95606 ( 764375 , 257411 ) 
point99388 ( 788184 , 259377 ) 
point78900 ( 755340 , 281492 ) 
point3606 ( 951106 , 278341 ) 
point42880 ( 850679 , 618509 ) 
point7996 ( 567411 , 596883 ) 
point63944 ( 784625 , 295367 ) 
point61699 ( 770330 , 290694 ) 
point35101 ( 422798 , 650339 ) 
point89613 ( 761379 , 296050 ) 
point68649 ( 754118 , 286046 ) 
point84920 ( 790503 , 276993 ) 
point20690 ( 854162 , 88613 ) 
point39917 ( 675335 , 58424 ) 
point7497 ( 247703 , 872499 ) 
point91477 ( 771847 , 288266 ) 
point49710 ( 826934 , 806075 ) 
point67172 ( 762920 , 280035 ) 
point95946 ( 751042 , 272882 ) 
point13161 ( 752722 , 533715 ) 
point55770 ( 464996 , 475981 ) 
point87520 ( 772826 , 278322 ) 
point28739 ( 544030 , 656447 ) 
point21988 ( 684114 , 477529 ) 
point44054 ( 488154 , 678637 ) 
point26276 ( 491820 , 847535 ) 
point23741 ( 810960 , 186344 ) 
point8417 ( 462498 , 992475 ) 
point43203 ( 594562 , 794368 ) 
point75536 ( 777452 , 278524 ) 
point46286 ( 126101 , 626715 ) 
point64258 ( 799018 , 286466 ) 
point61386 ( 795983 , 283049 ) 
point78469 ( 790026 , 264814 ) 
point19262 ( 687095 , 342033 ) 
point61748 ( 774271 , 281191 ) 
point33933 ( 904253 , 914560 ) 
point98706 ( 764006 , 277190 ) 
point50773 ( 184858 , 976626 ) 
point8575 ( 261952 , 964212 ) 
point28488 ( 359046 , 467640 ) 
point15638 ( 614763 , 785695 ) 
point85894 ( 754379 , 261732 ) 
point74678 ( 798405 , 286506 ) 
point546 ( 906503 , 777216 ) 
point17269 ( 265967 , 845634 ) 
point50905 ( 520446 , 715263 ) 
point3561 ( 842044 , 231309 ) 
point51551 ( 522266 , 422136 ) 
point11516 ( 46624 , 460274 ) 
point48689 ( 926578 , 181445 ) 
point65033 ( 776292 , 268847 ) 
point25547 ( 337559 , 222998 ) 
point61081 ( 775211 , 296834 ) 
point75141 ( 790925 , 296178 ) 
point47827 ( 722448 , 998600 ) 
point1774 ( 478963 , 878682 ) 
point67618 ( 757362 , 280061 ) 
point12213 ( 748305 , 418659 ) 
point54905 ( 993080 , 719660 ) 
point61389 ( 752100 , 274447 ) 
point72435 ( 767977 , 282600 ) 
point19841 ( 588207 , 773384 ) 
point91407 ( 751735 , 297154 ) 
point77339 ( 783883 , 290094 ) 
point52047 ( 949562 , 259860 ) 
point77939 ( 755195 , 250228 ) 
point36087 ( 131730 , 90658 ) 
point24724 ( 237075 , 448878 ) 
point81377 ( 753328 , 283081 ) 
point7207 ( 709171 , 961915 ) 
point75522 ( 768411 , 281808 ) 
point67729 ( 769220 , 267067 ) 
point33652 ( 810596 , 344887 ) 
point85448 ( 768901 , 284736 ) 
point2896 ( 522134 , 131576 ) 
point99618 ( 799093 , 287561 ) 
point93694 ( 760662 , 292423 ) 
point61172 ( 799961 , 254942 ) 
point6302 ( 667187 , 205090 ) 
point9154 ( 983112 , 913636 ) 
point49585 ( 667867 , 374313 ) 
point48357 ( 761198 , 41090 ) 
point85800 ( 756617 , 251502 ) 
point18313 ( 186805 , 612981 ) 
point24663 ( 13634 , 903250 ) 
point42486 ( 120646 , 188541 ) 
point61464 ( 792188 , 280959 ) 
point43419 ( 469077 , 742017 ) 
point75859 ( 774740 , 258984 ) 
point34258 ( 946318 , 828957 ) 
point16339 ( 805553 , 182945 ) 
point28165 ( 142222 , 128567 ) 
point64986 ( 781685 , 268756 ) 
point98807 ( 760018 , 258015 ) 
point50983 ( 29505 , 868073 ) 
point89223 ( 758835 , 260851 ) 
point93995 ( 771153 , 296785 ) 
point80640 ( 770397 , 250361 ) 
point99068 ( 758277 , 252468 ) 
point54554 ( 792067 , 167061 ) 
point45565 ( 851667 , 577130 ) 
point88109 ( 759924 , 267538 ) 
point43800 ( 639048 , 997438 ) 
point82347 ( 753272 , 294213 ) 
point31801 ( 809770 , 915300 ) 
point69498 ( 766835 , 285739 ) 
point10423 ( 50800 , 295097 ) 
point29031 ( 624469 , 376799 ) 
point44864 ( 715593 , 136540 ) 
point36512 ( 43050 , 564205 ) 
point254 ( 369437 , 739294 ) 
point65174 ( 774677 , 299142 ) 
point37941 ( 996025 , 559844 ) 
point52283 ( 799509 , 190947 ) 
point28655 ( 211708 , 705044 ) 
point51985 ( 72894 , 869282 ) 
point94291 ( 782565 , 268868 ) 
point4216 ( 868025 , 763465 ) 
point54099 ( 179567 , 866036 ) 
point82047 ( 795619 , 268464 ) 
point25934 ( 416158 , 847134 ) 
point93110 ( 797677 , 265021 ) 
point96613 ( 780521 , 297381 ) 
point86923 ( 783464 , 285105 ) 
point3597 ( 932867 , 953032 ) 
point6030 ( 943229 , 390138 ) 
point15795 ( 456034 , 312715 ) 
point57284 ( 346597 , 30712 ) 
point47980 ( 506801 , 137535 ) 
point29003 ( 138589 , 350235 ) 
point9770 ( 769085 , 224370 ) 
point79959 ( 785639 , 258856 ) 
point44793 ( 709829 , 940490 ) 
point6203 ( 867144 , 883580 ) 
point18837 ( 486921 , 628760 ) 
point57780 ( 134924 , 321360 ) 
point32654 ( 710204 , 408192 ) 
point40840 ( 526474 , 438806 ) 
point24613 ( 505398 , 341953 ) 
point33308 ( 971249 , 224467 ) 
point31118 ( 208147 , 549149 ) 
point34696 ( 222539 , 712305 ) 
point1064 ( 663030 , 34003 ) 
point42049 ( 530000 , 694830 ) 
point99498 ( 775001 , 263612 ) 
point68193 ( 763605 , 262362 ) 
point79759 ( 795123 , 255720 ) 
point32706 ( 197360 , 123630 ) 
point62800 ( 781040 , 262421 ) 
point68161 ( 793468 , 274348 ) 
point70483 ( 797770 , 282624 ) 
point62497 ( 750534 , 278124 ) 
point32411 ( 572797 , 775542 ) 
point6345 ( 685534 , 683415 ) 
point94195 ( 797126 , 278218 ) 
point27975 ( 798115 , 737876 ) 
point87991 ( 785133 , 296265 ) 
point96821 ( 794787 , 287733 ) 
point93152 ( 798159 , 275155 ) 
point8687 ( 641962 , 966850 ) 
point78851 ( 784456 , 295778 ) 
point11868 ( 858339 , 458064 ) 
point18773 ( 671320 , 432087 ) 
point20670 ( 473734 , 111955 ) 
point52205 ( 980292 , 842290 ) 
point50620 ( 526718 , 26781 ) 
point60771 ( 796436 , 280595 ) 
point72128 ( 785903 , 289822 ) 
point52465 ( 580051 , 96644 ) 
point2782 ( 359832 , 90781 ) 
point24488 ( 324420 , 245781 ) 
point93855 ( 756369 , 261910 ) 
point65677 ( 753864 , 255464 ) 
point96071 ( 791786 , 250416 ) 
point68860 ( 778169 , 277654 ) 
point20557 ( 502593 , 12647 ) 
point73467 ( 788534 , 258096 ) 
point88110 ( 795085 , 261107 ) 
point63806 ( 775460 , 258537 ) 
point91243 ( 777030 , 254344 ) 
point22064 ( 456209 , 672310 ) 
point82373 ( 778316 , 250311 ) 
point5371 ( 546694 , 24529 ) 
point86211 ( 760263 , 255322 ) 
point34776 ( 497357 , 376365 ) 
point43603 ( 913830 , 954807 ) 
point49265 ( 339551 , 578474 ) 
point3826 ( 778571 , 209497 ) 
point83966 ( 753432 , 298537 ) 
point44295 ( 634654 , 654768 ) 
point64638 ( 793242 , 293433 ) 
point23608 ( 937765 , 199365 ) 
point26601 ( 620968 , 423223 ) 
point11375 ( 988959 , 113909 ) 
point74553 ( 758121 , 266767 ) 
point74277 ( 793805 , 287236 ) 
point6269 ( 126398 , 346254 ) 
point22723 ( 748620 , 437562 ) 
point75133 ( 769981 , 280549 ) 
point71894 ( 781477 , 254773 ) 
point2715 ( 626296 , 617996 ) 
point93616 ( 799316 , 297914 ) 
point313 ( 990444 , 438891 ) 
point1030 ( 113638 , 264736 ) 
point83511 ( 793703 , 275427 ) 
point51727 ( 560144 , 640176 ) 
point21167 ( 677141 , 436447 ) 
point49601 ( 103541 , 657077 ) 
point528 ( 836397 , 31393 ) 
point51099 ( 896784 , 193146 ) 
point98834 ( 764027 , 293095 ) 
point26575 ( 565343 , 341168 ) 
point60133 ( 782295 , 271922 ) 
point65366 ( 776498 , 278013 ) 
point95978 ( 788613 , 274422 ) 
point28873 ( 30470 , 480764 ) 
point51752 ( 843856 , 269538 ) 
point35873 ( 529235 , 346765 ) 
point81740 ( 767541 , 252179 ) 
point20445 ( 327468 , 24878 ) 
point53649 ( 553446 , 228622 ) 
point84070 ( 783524 , 286153 ) 
point32735 ( 192166 , 529225 ) 
point11878 ( 204211 , 202675 ) 
point89181 ( 757365 , 263465 ) 
point11627 ( 465199 , 169365 ) 
point44120 ( 928 , 290785 ) 
point62966 ( 762841 , 273480 ) 
point27746 ( 954446 , 538852 ) 
point89392 ( 750649 , 297998 ) 
point26873 ( 701390 , 259086 ) 
point6330 ( 810575 , 962138 ) 
point99892 ( 750498 , 284814 ) 
point97608 ( 773791 , 278309 ) 
point61700 ( 768628 , 291578 ) 
point66846 ( 775117 , 296061 ) 
point68918 ( 770286 , 267453 ) 
point19614 ( 419359 , 536588 ) 
point87137 ( 752780 , 255141 ) 
point70715 ( 789290 , 259728 ) 
point81036 ( 771648 , 293646 ) 
point31893 ( 626919 , 555633 ) 
point70765 ( 756064 , 271860 ) 
point64369 ( 780034 , 276221 ) 
point70673 ( 767291 , 262519 ) 
point47475 ( 541614 , 509808 ) 
point96063 ( 763133 , 252190 ) 
point7908 ( 610524 , 473949 ) 
point68836 ( 761900 , 273181 ) 
point73340 ( 754381 , 253550 ) 
point83259 ( 765099 , 272790 ) 
point80728 ( 761319 , 289073 ) 
point67648 ( 757327 , 283127 ) 
point72960 ( 799168 , 250066 ) 
point78329 ( 763569 , 281035 ) 
point34497 ( 67819 , 620207 ) 
point88852 ( 757473 , 260305 ) 
point27276 ( 104451 , 432654 ) 
point62186 ( 760363 , 272190 ) 
point34260 ( 352581 , 232537 ) 
point48003 ( 427351 , 612533 ) 
point71429 ( 752177 , 287312 ) 
point2512 ( 346349 , 176839 ) 
point16116 ( 78524 , 261475 ) 
point50672 ( 372664 , 184054 ) 
point18166 ( 158527 , 264045 ) 
point88130 ( 755417 , 295612 ) 
point54676 ( 751334 , 971589 ) 
point50831 ( 144879 , 365523 ) 
point355 ( 15599 , 757628 ) 
point93097 ( 796596 , 257528 ) 
point7304 ( 575181 , 299431 ) 
point47337 ( 830653 , 214586 ) 
point8409 ( 894896 , 805123 ) 
point380 ( 422810 , 374284 ) 
point40383 ( 306836 , 527569 ) 
point2216 ( 525147 , 884950 ) 
point26447 ( 811602 , 551742 ) 
point23536 ( 440974 , 519497 ) 
point46268 ( 162934 , 72315 ) 
point44665 ( 822656 , 416807 ) 
point97109 ( 791399 , 261279 ) 
point5764 ( 43310 , 43788 ) 
point90286 ( 784477 , 287852 ) 
point47488 ( 264447 , 45880 ) 
point6517 ( 633175 , 909509 ) 
point57802 ( 348827 , 648861 ) 
point10986 ( 472562 , 739995 ) 
point22990 ( 747999 , 72025 ) 
point76691 ( 762066 , 295629 ) 
point30474 ( 88704 , 264747 ) 
point22524 ( 16039 , 851703 ) 
point670 ( 504336 , 35704 ) 
point94954 ( 782080 , 283230 ) 
point34915 ( 462675 , 230523 ) 
point39927 ( 45847 , 553733 ) 
point91284 ( 773808 , 278953 ) 
point76654 ( 798901 , 286081 ) 
point56431 ( 896245 , 456734 ) 
point10825 ( 811873 , 934650 ) 
point41595 ( 694888 , 391137 ) 
point38221 ( 841348 , 177812 ) 
point39271 ( 540762 , 740495 ) 
point61263 ( 780474 , 261337 ) 
point72734 ( 761114 , 263111 ) 
point2314 ( 493032 , 268071 ) 
point21074 ( 405651 , 547933 ) 
point76111 ( 775210 , 276148 ) 
point43997 ( 992435 , 763179 ) 
point65345 ( 776901 , 296239 ) 
point84703 ( 773003 , 290220 ) 
point8102 ( 288879 , 493598 ) 
point64709 ( 786939 , 296731 ) 
point92450 ( 798539 , 289938 ) 
point4076 ( 863519 , 780211 ) 
point71355 ( 762141 , 295971 ) 
point14517 ( 220646 , 329518 ) 
point62849 ( 777586 , 299831 ) 
point3777 ( 395702 , 134842 ) 
point14322 ( 833628 , 901079 ) 
point35829 ( 400921 , 837429 ) 
point22218 ( 340329 , 951992 ) 
point33694 ( 632429 , 42541 ) 
point19234 ( 749374 , 715228 ) 
point56221 ( 440035 , 414343 ) 
point60861 ( 790823 , 280505 ) 
point47518 ( 787687 , 330615 ) 
point70612 ( 774491 , 280052 ) 
point30320 ( 859977 , 997627 ) 
point38063 ( 577808 , 694117 ) 
point74201 ( 781869 , 287620 ) 
point40995 ( 585569 , 316352 ) 
point59735 ( 309664 , 705309 ) 
point77377 ( 768908 , 257874 ) 
point16603 ( 623620 , 139447 ) 
point62547 ( 772265 , 299852 ) 
point72623 ( 795178 , 293886 ) 
point14105 ( 455953 , 861342 ) 
point96067 ( 759580 , 296081 ) 
point86460 ( 786974 , 283715 ) 
point21195 ( 914735 , 649326 ) 
point65853 ( 758813 , 270470 ) 
point25129 ( 473306 , 767408 ) 
point79121 ( 799579 , 285897 ) 
point80082 ( 787370 , 265322 ) 
point89978 ( 784340 , 267215 ) 
point71295 ( 760348 , 286239 ) 
point20546 ( 278157 , 223301 ) 
point17393 ( 513323 , 108209 ) 
point39283 ( 754610 , 784964 ) 
point59029 ( 524594 , 223695 ) 
point9171 ( 55285 , 357524 ) 
point99585 ( 767558 , 265657 ) 
point50095 ( 706195 , 379741 ) 
point16556 ( 382142 , 290118 ) 
point66194 ( 772924 , 298855 ) 
point50570 ( 663651 , 842376 ) 
point77524 ( 759191 , 251913 ) 
point83600 ( 770365 , 267040 ) 
point59781 ( 991949 , 781539 ) 
point55141 ( 123132 , 258905 ) 
point61592 ( 756660 , 253677 ) 
point13463 ( 696958 , 579436 ) 
point1834 ( 865237 , 451285 ) 
point91053 ( 758025 , 266650 ) 
point18440 ( 466146 , 964072 ) 
point26329 ( 334037 , 78701 ) 
point45621 ( 53645 , 580549 ) 
point85647 ( 754226 , 271472 ) 
point47864 ( 513790 , 90392 ) 
point8429 ( 898351 , 232592 ) 
point34402 ( 433208 , 311590 ) 
point12400 ( 283702 , 73889 ) 
point34882 ( 676989 , 553674 ) 
point67359 ( 789239 , 294677 ) 
point95267 ( 776534 , 294253 ) 
point83960 ( 790634 , 283135 ) 
point89015 ( 777235 , 276368 ) 
point74313 ( 773976 , 275876 ) 
point20058 ( 37555 , 160190 ) 
point11873 ( 647195 , 930444 ) 
point59225 ( 149132 , 455733 ) 
point40111 ( 480893 , 237152 ) 
point97665 ( 765938 , 290218 ) 
point39045 ( 334406 , 336994 ) 
point36705 ( 168114 , 174503 ) 
point30467 ( 140715 , 566544 ) 
point30931 ( 349013 , 462339 ) 
point13936 ( 595466 , 706781 ) 
point16938 ( 627179 , 365498 ) 
point7464 ( 958622 , 683979 ) 
point44140 ( 164176 , 813789 ) 
point90582 ( 775177 , 274367 ) 
point77633 ( 794889 , 252832 ) 
point75747 ( 787072 , 298759 ) 
point1026 ( 69664 , 225109 ) 
point14377 ( 901039 , 770246 ) 
point50178 ( 761430 , 252500 ) 
point4521 ( 835135 , 753164 ) 
point14716 ( 642091 , 845997 ) 
point67478 ( 783182 , 258151 ) 
point1109 ( 22118 , 713554 ) 
point14189 ( 667248 , 4552 ) 
point19684 ( 221532 , 733750 ) 
point89432 ( 790227 , 288166 ) 
point53518 ( 47793 , 667424 ) 
point70210 ( 799486 , 253145 ) 
point43969 ( 645897 , 978164 ) 
point55171 ( 493649 , 188220 ) 
point73044 ( 775477 , 281279 ) 
point3714 ( 405430 , 722637 ) 
point10709 ( 131408 , 274590 ) 
point57697 ( 215094 , 293602 ) 
point78245 ( 770448 , 292623 ) 
point89659 ( 793637 , 290529 ) 
point48923 ( 349207 , 221144 ) 
point20572 ( 913488 , 898189 ) 
point16760 ( 110934 , 362419 ) 
point48636 ( 22260 , 666562 ) 
point63001 ( 786739 , 296785 ) 
point62160 ( 790327 , 265087 ) 
point93371 ( 799245 , 281256 ) 
point28425 ( 573591 , 393261 ) 
point24450 ( 477086 , 551124 ) 
point31377 ( 428111 , 850046 ) 
point34241 ( 82898 , 899405 ) 
point50334 ( 905641 , 637126 ) 
point10636 ( 138352 , 28360 ) 
point31187 ( 748519 , 787069 ) 
point47921 ( 243706 , 689733 ) 
point54577 ( 685719 , 527583 ) 
point13133 ( 833219 , 846531 ) 
point46903 ( 306267 , 470253 ) 
point66212 ( 788886 , 292992 ) 
point76278 ( 758349 , 280500 ) 
point22584 ( 615512 , 347042 ) 
point82798 ( 760202 , 296589 ) 
point14025 ( 138935 , 151878 ) 
point35371 ( 656165 , 538679 ) 
point83862 ( 795086 , 296418 ) 
point18216 ( 891755 , 113223 ) 
point6346 ( 365145 , 461332 ) 
point8288 ( 111406 , 98002 ) 
point94174 ( 779489 , 263726 ) 
point66116 ( 769818 , 294150 ) 
point56563 ( 729231 , 723560 ) 
point88778 ( 794287 , 266058 ) 
point84035 ( 758894 , 254124 ) 
point17229 ( 20664 , 16265 ) 
point79526 ( 784313 , 260264 ) 
point26969 ( 25895 , 655768 ) 
point73090 ( 761654 , 278867 ) 
point26976 ( 659028 , 284858 ) 
point31926 ( 810157 , 477672 ) 
point13649 ( 85556 , 866795 ) 
point14941 ( 390259 , 773978 ) 
point67030 ( 778702 , 290641 ) 
point39771 ( 719223 , 717274 ) 
point58856 ( 252824 , 339043 ) 
point98091 ( 790799 , 271989 ) 
point35846 ( 753282 , 139892 ) 
point50077 ( 254167 , 486617 ) 
point7722 ( 531766 , 743381 ) 
point68393 ( 796526 , 297859 ) 
point39299 ( 868742 , 870192 ) 
point222 ( 189470 , 206662 ) 
point7891 ( 405898 , 349461 ) 
point39908 ( 419943 , 716680 ) 
point42436 ( 384378 , 560103 ) 
point68715 ( 795269 , 265991 ) 
point18520 ( 62366 , 693922 ) 
point52666 ( 30017 , 460303 ) 
point23447 ( 39326 , 480411 ) 
point14387 ( 183619 , 606034 ) 
point61153 ( 768792 , 290780 ) 
point69849 ( 751770 , 276392 ) 
point22343 ( 889968 , 794732 ) 
point20431 ( 392702 , 13341 ) 
point10125 ( 590056 , 574204 ) 
point2846 ( 710438 , 708985 ) 
point61272 ( 785581 , 252106 ) 
point81819 ( 752234 , 275737 ) 
point92623 ( 775464 , 255623 ) 
point25257 ( 211497 , 663078 ) 
point58666 ( 224887 , 76022 ) 
point3324 ( 944500 , 806399 ) 
point98028 ( 759792 , 270142 ) 
point88043 ( 750545 , 288482 ) 
point20991 ( 155076 , 885621 ) 
